guess,session
25,1
20,1
25,1
35,1
60,1
67,1
99,1
30,1
40,1
77,1
35,1
25,1
66,1
24,1
18,1
11,1
25,1
33,1
,
34,2
32,2
35,2
30,2
50,2
79,2
50,2
10,2
34,2
56,2
37,2
35,2
31,2
45,2
7,2
,
20,3
17,3
22,3
41.5,3
48,3
25,3
43,3
40,3
25,3
45,3
65,3
32,3
24,3
28,3
23,3
28,3
,
14,4
66,4
35,4
23,4
73,4
5,4
22,4
30,4
25,4
87,4
8,4
34,4
33,4
17,4
76,4
22.6,4
51,4
33,4
,
22,5
18,5
25,5
44,5
0,5
21,5
35,5
34,5
39,5
73,5
35,5
38.3,5
22,5
8,5
12,5
26,5
22,5
45,5
41,5
,
16.67,6
17,6
27.5,6
33.3,6
18,6
22.2,6
16.66,6
15,6
10.0891,6
9,6
17.38,6
23,6
23.2,6
14.666,6
15,6
11,6
23,6
16,6
32,6
20.4,6
23.3,6
26,6
19.13,6
12,6
12,6
20.3,6
32.66,6
18.518,6
22.2,6
22.2,6
0,6
33.666,6
0,6
18,6
19.5,6
19,6
33.33,6
33.33,6
29.352,6
50,6
29,6
0,6
87,6
33.333,6
10,6
22.2,6
37.2,6
16,6
30.001,6
66.66,6
22,6
66.6,6
12.45,6
10.6666,6
27.77,6
60,6
0,6
28.5,6
62,6
52,6
46.752,6
47.777,6
30.7543,6
17.5,6
,
25,7
55.5,7
22.5,7
76.432,7
20.8,7
0.1,7
33.33,7
44.45,7
22.7,7
37.23,7
36,7
85,7
0.457,7
0.21,7
13,7
32,7
11.03,7
10,7
7,7
47,7
9.87,7
18,7
0.01,7
9.87,7
40,7
19,7
33.3,7
25,7
40,7
13.2636,7
8,7
20,7
22.2,7
50,7
28,7
17.331,7
33.3,7
29,7
14,7
22,7
28,7
14,7
23.55,7
13,7
15,7
11.81,7
44.44,7
20.75,7
33.33,7
14.5,7
15.72,7
21.9,7
15.55,7
39,7
15,7
,
18,8
44,8
44.4,8
7,8
37,8
23.3,8
3,8
31.8,8
33,8
0,8
36,8
33.3,8
21.3,8
22.22,8
25.5,8
27,8
35,8
43,8
29,8
58.25,8
66.6,8
30,8
66.66,8
7.5,8
16,8
15.8,8
33.33,8
33.33,8
11.1,8
22.22,8
0.5,8
22.1,8
33.33,8
22.758,8
33.3,8
33.5,8
0,8
19.1,8
66,8
24.4,8
50,8
21,8
33.33,8
8,8
19.25,8
3,8
32,8
3,8
50,8
11,8
28.5,8
12,8
8,8
67.75,8
28,8
12.14,8
69,8
66.6,8
25.35,8
5,8
3.1415927,8
64,8
66.6,8
,
27.6,9
18.75,9
0.6666,9
33,9
44,9
27.8,9
34,9
14,9
12,9
33.3,9
8,9
