session,id,round 1,round 2,round 3,round 4
4,1,25,21,12,9
4,2,20,40,12,10
4,3,25,18,14,8
4,4,35,15,12,10
4,5,60,15,16,10
4,6,67,39,16,9
4,7,99,99,99,99
4,8,30,13,13,10
4,9,40,30,15,9
4,10,77,45,23,17
4,11,35,15,23,46
4,12,25,15,10,7
4,13,66,29,13,9
4,14,24,38,9,10
4,15,18,12,12,8
4,16,11,30,30,11
4,17,25,30,22,11
4,18,33,11,12,8
5,1,34,34,10,2.9
5,2,32,9,7,3.6
5,3,35,5,10,3.2
5,4,30,20,17,3.5
5,5,50,45,7,3
5,6,79,9,9,2.6
5,7,50,15,7,3
5,8,10,10,10,2
5,9,34,15,6,4.5
5,10,56,20,17,4
5,11,37,17,11,3
5,12,35,27,18,4.2
5,13,31,15,6,2.6
5,14,45,40,8,3.4
5,15,7,22,6.7,2.1
6,1,20,29,18,5
6,2,17,23,13,20
6,3,22,18,10,8.9
6,4,41.5,38,7,0.00001
6,5,48,18,8,8
6,6,25,15,8.5,7.1
6,7,43,32,14,7
6,8,40,28,100,8
6,9,25,12,7,6.5
6,10,45,12,7.5,12
6,11,65,24,25,7
6,12,32,18,8,8.5
6,13,24,8.2,10,6.6
6,14,28,11,9,10
6,15,23,35,16,12
6,16,28,4,6,6
7,1,14,14,6,6
7,2,66,27,33.3,8.5
7,3,35,35,19,3
7,4,23,33,45,25
7,5,73,17,10,6
7,6,5,75,7,6.25
7,7,22,14,10,6
7,8,30,78.1,20,15
7,9,25,20,12,7.54
7,10,87,31,32,13
7,11,8,14,10.5,8.1
7,12,34,12,12,9
7,13,33,14,11,4
7,14,17,28,22,10.4
7,15,76,31,13,8
7,16,22.6,6,12.5,6
7,17,51,12,14.1,6.6
7,18,33,15,12,8.25
