,name,group,round,id_in_group,guess,twothirds,best,win,payoff,id,strategy
0,GoR_2,12,1,1,50.0,25.0,25.0,0,1.38,p1e9qtlq,
1,GoR_2,12,1,2,25.0,25.0,25.0,1,0.63,r5pm31lo,
2,GoR_2,12,2,1,10.0,16.67,10.0,1,1.38,p1e9qtlq,
3,GoR_2,12,2,2,40.0,16.67,10.0,0,0.63,r5pm31lo,
4,GoR_2,12,3,1,99.0,36.33,10.0,0,1.38,p1e9qtlq,
5,GoR_2,12,3,2,10.0,36.33,10.0,1,0.63,r5pm31lo,
6,GoR_2,12,4,1,10.0,22.0,10.0,1,1.38,p1e9qtlq,
7,GoR_2,12,4,2,56.0,22.0,10.0,0,0.63,r5pm31lo,
8,GoR_2,12,5,1,10.0,28.33,10.0,1,1.38,p1e9qtlq,
9,GoR_2,12,5,2,75.0,28.33,10.0,0,0.63,r5pm31lo,
10,GoR_2,12,6,1,20.0,13.33,20.0,1,1.38,p1e9qtlq,
11,GoR_2,12,6,2,20.0,13.33,20.0,1,0.63,r5pm31lo,
12,GoR_2,12,7,1,15.0,16.67,15.0,1,1.38,p1e9qtlq,
13,GoR_2,12,7,2,35.0,16.67,15.0,0,0.63,r5pm31lo,
14,GoR_2,12,8,1,10.0,9.33,10.0,1,1.38,p1e9qtlq,I tried to find a pattern in the opponent's picks.
15,GoR_2,12,8,2,18.0,9.33,10.0,0,0.63,r5pm31lo,guessing
16,GoR_2,18,1,1,45.0,26.0,33.0,0,1.01,ulr8nitt,
17,GoR_2,18,1,2,33.0,26.0,33.0,1,1.01,nb2zrcf4,
18,GoR_2,18,2,1,24.0,13.33,16.0,0,1.01,ulr8nitt,
19,GoR_2,18,2,2,16.0,13.33,16.0,1,1.01,nb2zrcf4,
20,GoR_2,18,3,1,10.0,10.0,10.0,1,1.01,ulr8nitt,
21,GoR_2,18,3,2,20.0,10.0,10.0,0,1.01,nb2zrcf4,
22,GoR_2,18,4,1,6.0,8.67,6.0,1,1.01,ulr8nitt,
23,GoR_2,18,4,2,20.0,8.67,6.0,0,1.01,nb2zrcf4,
24,GoR_2,18,5,1,4.0,2.0,2.0,0,1.01,ulr8nitt,
25,GoR_2,18,5,2,2.0,2.0,2.0,1,1.01,nb2zrcf4,
26,GoR_2,18,6,1,1.0,0.67,1.0,1,1.01,ulr8nitt,
27,GoR_2,18,6,2,1.0,0.67,1.0,1,1.01,nb2zrcf4,
28,GoR_2,18,7,1,1.0,1.33,1.0,1,1.01,ulr8nitt,
29,GoR_2,18,7,2,3.0,1.33,1.0,0,1.01,nb2zrcf4,
30,GoR_2,18,8,1,1.0,0.67,1.0,1,1.01,ulr8nitt,"I saw that the average kept on decreasing with each progressing round, so I decided to keep on lowering my guess as that happened."
31,GoR_2,18,8,2,1.0,0.67,1.0,1,1.01,nb2zrcf4,I figured the average would decrease.
32,GoR_2,24,1,1,40.0,32.0,40.0,1,1.5,q4ggby4v,
33,GoR_2,24,1,2,56.0,32.0,40.0,0,0.5,d4f9fl9f,
34,GoR_2,24,2,1,57.0,37.67,56.0,0,1.5,q4ggby4v,
35,GoR_2,24,2,2,56.0,37.67,56.0,1,0.5,d4f9fl9f,
36,GoR_2,24,3,1,81.0,53.0,78.0,0,1.5,q4ggby4v,
37,GoR_2,24,3,2,78.0,53.0,78.0,1,0.5,d4f9fl9f,
38,GoR_2,24,4,1,33.0,22.33,33.0,1,1.5,q4ggby4v,
39,GoR_2,24,4,2,34.0,22.33,33.0,0,0.5,d4f9fl9f,
40,GoR_2,24,5,1,12.0,22.67,12.0,1,1.5,q4ggby4v,
41,GoR_2,24,5,2,56.0,22.67,12.0,0,0.5,d4f9fl9f,
42,GoR_2,24,6,1,22.0,26.0,22.0,1,1.5,q4ggby4v,
43,GoR_2,24,6,2,56.0,26.0,22.0,0,0.5,d4f9fl9f,
44,GoR_2,24,7,1,5.0,27.67,5.0,1,1.5,q4ggby4v,
45,GoR_2,24,7,2,78.0,27.67,5.0,0,0.5,d4f9fl9f,
46,GoR_2,24,8,1,33.0,26.0,33.0,1,1.5,q4ggby4v,random guessing
47,GoR_2,24,8,2,45.0,26.0,33.0,0,0.5,d4f9fl9f,No real strategy - just guessing.
48,GoR_2,25,1,1,65.0,38.33,50.0,0,0.51,5af57szr,
49,GoR_2,25,1,2,50.0,38.33,50.0,1,1.51,c8h4zgjt,
50,GoR_2,25,2,1,55.0,33.33,45.0,0,0.51,5af57szr,
51,GoR_2,25,2,2,45.0,33.33,45.0,1,1.51,c8h4zgjt,
52,GoR_2,25,3,1,40.0,26.67,40.0,1,0.51,5af57szr,
53,GoR_2,25,3,2,40.0,26.67,40.0,1,1.51,c8h4zgjt,
54,GoR_2,25,4,1,35.0,21.67,30.0,0,0.51,5af57szr,
55,GoR_2,25,4,2,30.0,21.67,30.0,1,1.51,c8h4zgjt,
56,GoR_2,25,5,1,20.0,15.0,20.0,1,0.51,5af57szr,
57,GoR_2,25,5,2,25.0,15.0,20.0,0,1.51,c8h4zgjt,
58,GoR_2,25,6,1,20.0,10.0,10.0,0,0.51,5af57szr,
59,GoR_2,25,6,2,10.0,10.0,10.0,1,1.51,c8h4zgjt,
60,GoR_2,25,7,1,5.0,3.33,5.0,1,0.51,5af57szr,
61,GoR_2,25,7,2,5.0,3.33,5.0,1,1.51,c8h4zgjt,
62,GoR_2,25,8,1,15.0,5.0,0.0,0,0.51,5af57szr,I tried to pay attention to the pattern of the number chosen.
63,GoR_2,25,8,2,0.0,5.0,0.0,1,1.51,c8h4zgjt,"I tried to stay in the middle of the range at first, then I follow the trend of the guesses, since the players seemed to guess numbers following a decreasing trend"
